Tales from the SWAMP: Navigating the Murky Waters of Project Management,Tanya Boyd,BEC 1225 (Professional Development),2025-07-26 14:45:00,https://docs.google.com/forms/d/e/1FAIpQLScU9FZqTgGVhBKUNHH1hCLxHA5yIbijwAjyxFle1WgoR54E1w/viewform,https://docs.google.com/forms/d/14Oq1Q-GTusDrj4L3FQvxpuOYlb7Dav3IwByYduCFfNM/edit,Already Exists
"Mastering PowerShell Functions and Script Modules: Build, Reuse, and Share Your Code Like a Pro",Mike Robbins,BEC 1305 (PowerShell/Automation),2025-07-26 8:30:00,https://docs.google.com/forms/d/e/1FAIpQLScqZkTCRXDWI9IC06ukHE9ExK2fa1C6BVH0ayHnv4pgYf4vDw/viewform,https://docs.google.com/forms/d/17tRSGDDRqzM_FcoWuRmiwRx258-uHSFalhCZMUWiyt8/edit,Already Exists
Extending Power BI with Power Automate,Dominick Raimato,BEC 1305 (PowerShell/Automation),2025-07-26 9:40:00,https://docs.google.com/forms/d/e/1FAIpQLSeaqx6kjExEVZ1QRtZXwBGncR9wbWdUBfV-cFzxkK18wOuGPg/viewform,https://docs.google.com/forms/d/1AQzUgnwU6qnsUMLz7cqnlNoTUZMDInU0fipnagxF-0M/edit,Already Exists
Don't Bash PowerShell,Steven Judd,BEC 1305 (PowerShell/Automation),2025-07-26 11:20:00,https://docs.google.com/forms/d/e/1FAIpQLSd6cePFuVA-D2Uc1gT2YPOOlLFstd8rF8O2ApThjzze2wJw7A/viewform,https://docs.google.com/forms/d/12_vTLQ_zPryyryxBEYyfMIMgkjene_omDgAD797ql3g/edit,Already Exists
Getting Super Geeky with PowerShell Notebooks - It's Easy!,Joe Houghes,BEC 1305 (PowerShell/Automation),2025-07-26 13:40:00,https://docs.google.com/forms/d/e/1FAIpQLSchl_eZjvv7rqCdXYGueI4LhZbsetz9ROs3mZ3pGqdJLlklxg/viewform,https://docs.google.com/forms/d/1QEeUMJa47SiLD6z9BFOGnvy1u4RHMvoesQH9DAc1NPE/edit,Already Exists
Mastering Cursor: We're All Cooked (But in a Good Way),Brian Davis,BEC 1305 (PowerShell/Automation),2025-07-26 14:45:00,https://docs.google.com/forms/d/e/1FAIpQLSddRJ3H50ynT7DwxggA1LUFyn61GGyDK15tKXireTVfde8kKQ/viewform,https://docs.google.com/forms/d/1P-M45BT_zkkKczJToDlDw076D9czmH_Oo7poG2Mk7Ck/edit,Already Exists
Rapid Prototyping in the Age of AI,Tommy Parrish,BEC 1325 (.NET Development),2025-07-26 8:30:00,https://docs.google.com/forms/d/e/1FAIpQLSeUAyaQGIlI2HyCcdy8-8CnnyNmmS3JVw8O73ClrR0WfQ_uGQ/viewform,https://docs.google.com/forms/d/1fLEX7YlofQiNZMrfNWjOV1peq0RFjiA0RW_fq7mNTsg/edit,Already Exists
Learn the basics of Git and GitHub workflow,Sean Wheeler,BEC 1325 (.NET Development),2025-07-26 9:40:00,https://docs.google.com/forms/d/e/1FAIpQLScVO68V0zePG1O70v3zL1DbOmeto5ups7uCjcln3fxZbyY1Iw/viewform,https://docs.google.com/forms/d/1oMJ-fY6gS2PVczaSjSvei5jlHuxuE7jlXAgdNWnb3bQ/edit,Already Exists
The Developer Testing Toolbox,Jeremy Knight,BEC 1325 (.NET Development),2025-07-26 11:20:00,https://docs.google.com/forms/d/e/1FAIpQLSf7s1bGvxESo-oC9FdsU01SaYkT1SK2NGsqZbUhoO8k1U_hGA/viewform,https://docs.google.com/forms/d/1Lgi3jd9q4VA-QNaI8Uwxb1MFTq8a00qr4LpEBOgGqLg/edit,Already Exists
Intro to Angular,Ryan Richard,BEC 1325 (.NET Development),2025-07-26 13:40:00,https://docs.google.com/forms/d/e/1FAIpQLSdP5w7d3HCXmUaHzHdcUrSELY34ZjJXc6g71-IjgKoT52-q0A/viewform,https://docs.google.com/forms/d/1-i4ZQQCDXyer8dpGQNrYihcbUQ6R7SfQ1t4urslqXFc/edit,Already Exists
SQL Server Configuration Best Practices,Ben Miller,BEC 1325 (.NET Development),2025-07-26 14:45:00,https://docs.google.com/forms/d/e/1FAIpQLSdAvQIJef6dDVNK4zL9y-3paeT_nu86Xi7WvM8-cPtVmo_MsQ/viewform,https://docs.google.com/forms/d/1jiJU2_2NvQWVL9nCEdQV16z_00L33ZgujR4M_OEA38w/edit,Already Exists
Business Continuity in Azure SQL Databases,John Deardurff,BEC 1409 (Cloud),2025-07-26 8:30:00,https://docs.google.com/forms/d/e/1FAIpQLSdQQr8yyggZbzDkRbT8d1mI0DTSFAbiGdwbNhhw1-pV7vSleA/viewform,https://docs.google.com/forms/d/1xQyNjStHhSw8OyIDNrGExZra9Bu0QZFls22vdnHRyNk/edit,Already Exists
Microsoft Fabric and Azure Health Data Services,Jared Rhodes,BEC 1409 (Cloud),2025-07-26 9:40:00,https://docs.google.com/forms/d/e/1FAIpQLSehJDgdzRadVpV8gUThcuWmY2MxFfFF9dGXEKEY-JuniLU9eQ/viewform,https://docs.google.com/forms/d/1o3Lc3Qm2GyRO2E_w9GzaF7gADfdC-tl-IM2dqbOsuRo/edit,Already Exists
The Rise of AI Agents: What You Need to Know,Muralidhar Chouhan,BEC 1409 (Cloud),2025-07-26 11:20:00,https://docs.google.com/forms/d/e/1FAIpQLSeRkHMmvf08NoFbtt60vwBV21lGQ65xoTxxeS12U5manQ7wpQ/viewform,https://docs.google.com/forms/d/1nRq-am2KFpTLVJWCRCk2-aFAHPBjeZMGhWb3HUs1UmE/edit,Already Exists
SQL Server Hosting on AWS: Options and Considerations,"Alvaro Costa-Neto, Chetan Nandikanti",BEC 1409 (Cloud),2025-07-26 13:40:00,https://docs.google.com/forms/d/e/1FAIpQLSf_ZNtagum-dNfXdagWNDbtTj9OjUCai3QlDOl13EamcuxvaQ/viewform,https://docs.google.com/forms/d/18mTnANLYE43xiP17LAyj7bp-MiJmN06cJkAjRDhkaIw/edit,Already Exists
Managing SQL Server with Azure Arc Unleashed,"David Pless, Abdullah Mamun",BEC 1409 (Cloud),2025-07-26 14:45:00,https://docs.google.com/forms/d/e/1FAIpQLSeBzcLMz45bKIv95esKw9ffvmUtkc3r4y6yQ1SlcR1AGMCSIQ/viewform,https://docs.google.com/forms/d/1Cp6tIikbDTsKcdfkVptKCVJIkZcBcU0Yev4tlFP-WSc/edit,Already Exists
The Collision of Real-Time Analytics and Observability,Barkha Herman,BEC 1425 (Cloud 2),2025-07-26 8:30:00,https://docs.google.com/forms/d/e/1FAIpQLSelKqowHmLUFDN-uezeLTWPefejU2CJRsxa_n3NvGD3tyCjZw/viewform,https://docs.google.com/forms/d/1e8OO_uOaSzdabnud1FcOhfpSkxaG2URm1DahqcGoHUc/edit,Already Exists
Using Digital Forensics for Data Loss Prevention (DLP),Paresh Motiwala,BEC 1425 (Cloud 2),2025-07-26 9:40:00,https://docs.google.com/forms/d/e/1FAIpQLSfDcfz176sQXVAW-gu-ac3PpBItRLsjglozDZcxMj-RQhAkuw/viewform,https://docs.google.com/forms/d/1tsSqXbBq8K-ipNLsofHuK6eObr51Wbh59jXmArqtXeQ/edit,Already Exists
Automate Your Documentation with Local AI,Ian Trimble,BEC 1425 (Cloud 2),2025-07-26 11:20:00,https://docs.google.com/forms/d/e/1FAIpQLSewyCMP5BRf05xemlorjGiUdrjUKmyUkyxX_hUDeHtuv5pgYQ/viewform,https://docs.google.com/forms/d/1gTSd77NuDxUDMIzgPulxZ4fhZmz-bSuD6xeXQ8M_P4E/edit,Already Exists
Connecting Power BI to API using POST,Russel Loski,BEC 1425 (Cloud 2),2025-07-26 13:40:00,https://docs.google.com/forms/d/e/1FAIpQLSd4JYnpQCP6pVqW-F6gcZF4K4xMfiAJkJ6Ltn_cjo1emocZnQ/viewform,https://docs.google.com/forms/d/1f60Ci71d0kmCDU_I2MKU-mHhCwy3SkdBeknzxu6Cm-c/edit,Already Exists
Secure Communication Protocol for Distributed Environments,Sravanthi Akavaram,BEC 1425 (Cloud 2),2025-07-26 14:00:00,https://docs.google.com/forms/d/e/1FAIpQLSc-Xg7R7j6EiUGua6zsH2fiYD22puBEzjgkYKIb1QnYMUyF1A/viewform,https://docs.google.com/forms/d/1ZxS4arNWZH81LTSBu3APEQGi9QVV10NHZMKwflD5n4c/edit,Already Exists
Squeezing the Apple for All Its Juice,Mike Sammartino,BEC 1425 (Cloud 2),2025-07-26 14:20:00,https://docs.google.com/forms/d/e/1FAIpQLScCSfZfe2wPMFciPSWodm2wmYWM7gSyUQI3a59w6xjj3y44Mw/viewform,https://docs.google.com/forms/d/1znHu1lEdpwI_3auZ5Euwxu60_7GwEmCh1s6JcNNi4Cc/edit,Already Exists
Who Needs a Warehouse When You've Got a Lakehouse?,Nilanjan Chatterjee,BEC 1425 (Cloud 2),2025-07-26 14:45:00,https://docs.google.com/forms/d/e/1FAIpQLSd7x4lGIjFGtYXkwwuxGLnA9Uii_eVK2WDhTcnh_Riu0T1k7w/viewform,https://docs.google.com/forms/d/1Lss89SX742AyNkwEpsgpvTVujESbN8PnvKoVmtWHaMI/edit,Already Exists
Getting Started Getting Started with Containerization,Garo Yeriazarian,BEC 1425 (Cloud 2),2025-07-26 15:05:00,https://docs.google.com/forms/d/e/1FAIpQLSfKGrjIjytPB5WaoYuknU4cRP-k9yMspQ6JJ8RjzsPnI98Q3w/viewform,https://docs.google.com/forms/d/1qJQzUj_93j5BeJZiouRT-QAUjLqHL54zWqYvY1TTmWQ/edit,Already Exists
Agentic AI in Construction – Transforming the Industry with Intelligent Solutions,Dr. Srikanth Bangaru,BEC 1425 (Cloud 2),2025-07-26 15:25:00,https://docs.google.com/forms/d/e/1FAIpQLSf6oDLHsy6cdosaVgbE4OSCW9ANJICoyIZSZdDaQXA0vbTfrA/viewform,https://docs.google.com/forms/d/1nuTfr2TMTKIW5G9OPsQryjcR3Xuyu8uQeTdEiyYGIQY/edit,Already Exists
High speed failover Clustering with RDMA/ROCE with Hyper-v over converged multigigabit networks,Christopher Long,BEC 1920 (Security),2025-07-26 8:30:00,https://docs.google.com/forms/d/e/1FAIpQLScIWXZGz3-Apc0XP7tucz70wrPTxV1lcFCW2y2YEfTk4ygV_A/viewform,https://docs.google.com/forms/d/1hNUI_d4N1CFkphdfcL9A3bOScjICTlRChTx-DLQFqEA/edit,Already Exists
Strength in Partnerships: Cybersecurity and the Value of Vendor Management,Rachel Arnold,BEC 1920 (Security),2025-07-26 9:40:00,https://docs.google.com/forms/d/e/1FAIpQLSewRmnaih9FakqeOafnI9yy51h_a1unysiPpH5lLIHL-BAaag/viewform,https://docs.google.com/forms/d/1z2lLnwRBoU9JMsMZ8Jm7OCyb6JIA2XT0yTIrA-D3sDU/edit,Already Exists
SQL Server 2025: an enterprise AI-ready database platform,Ben Miller,BEC 1920 (Security),2025-07-26 11:20:00,https://docs.google.com/forms/d/e/1FAIpQLSdJx1CqVc2kXYSS4YF-sBrZ1ugRmVxiLe7xivhYboYxayiw1w/viewform,https://docs.google.com/forms/d/1PI0qYey7U62HH035dlOrqoEeGFk53JrPPZGT5DnafZA/edit,Already Exists
Let's Hack a Database,Miguel Solis,BEC 1920 (Security),2025-07-26 13:40:00,https://docs.google.com/forms/d/e/1FAIpQLSf1lX2hgNRwIO6OlBFiycv-mmLO1yzP18Saypif9d91JPb8og/viewform,https://docs.google.com/forms/d/1F8UFxAIu7TB1o_eV4PKnwGRPcxtfBobmKutqOBbpWdM/edit,Already Exists
Narrative as a Design Tool,Ricky Tucker,BEC 1920 (Security),2025-07-26 14:45:00,https://docs.google.com/forms/d/e/1FAIpQLScCGG1YIFQ2x_SHnvnBLWhe9hnhVwkn3aHtMVEraz3lCu0jlQ/viewform,https://docs.google.com/forms/d/1-XGcwLXwoSv9Cx9Ni52CGN_TpGUoQde9JjBoT7CGqis/edit,Already Exists
Streamlining DataOps in Fabric: Implementing Azure DevOps CI/CD Pipelines for Fabric SQL DB,Kevin Pereira,BEC 2520 (SQL Server Development),2025-07-26 8:30:00,https://docs.google.com/forms/d/e/1FAIpQLSd5L0BuHmOzrVk53YC8DNKKZXmx-AM9DikQ2C81BeCKDqTzvA/viewform,https://docs.google.com/forms/d/13_uvZA-JMfu2_VPzk_Flaswh4WsXw3waMxgsGWVBd2M/edit,Already Exists
Modeling Software Development Problems in Time and Thinking Temporally,Calvin Fabre,BEC 2520 (SQL Server Development),2025-07-26 9:40:00,https://docs.google.com/forms/d/e/1FAIpQLScb_liorlIv2QB83bYZomjRkxCwxIjTVG_6Mf3PNWax4y8f8w/viewform,https://docs.google.com/forms/d/1lbSIbwZqo6tJM0D2kugHXPKnDSshsJjCsFH9Rx49gU0/edit,Created
README.md? We Can Do Better!,George Mauer,BEC 2520 (SQL Server Development),2025-07-26 11:20:00,https://docs.google.com/forms/d/e/1FAIpQLSftqWLTHH--p6WEcnG5NLwGnhulRW5JzE0xxwV18J6F_OKDPw/viewform,https://docs.google.com/forms/d/1-ALbEp5Cyp-eix-ggq2DXblczU6gnQvk7zTA6iGafkY/edit,Created
Natural Language Queries with ASP.NET,Glenn Rumfellow,BEC 2520 (SQL Server Development),2025-07-26 13:40:00,https://docs.google.com/forms/d/e/1FAIpQLSeSxBtALCwKYFjIJK0JBIbNs7kdKm9zx2HSaHTiVdFwHeOPLQ/viewform,https://docs.google.com/forms/d/1HLM8VSlDFxcRS2Mz-Uzszgj7KrjNLFs5UgDZ4zF8B6s/edit,Created
The T-SQL JSON Operators,Jeff Foushee,BEC 2520 (SQL Server Development),2025-07-26 14:45:00,https://docs.google.com/forms/d/e/1FAIpQLSeLNxQkMhfy-0GbqdRp00Ne4w_w5PVa--0_lO-9nSH5aADuxQ/viewform,https://docs.google.com/forms/d/1vjoaDF7tKZe99JrkIvZuRu20OWiumrhD-FH1MlXHi-s/edit,Created
Become immediately effective with PowerShell,Sean Wheeler,LA Tech Park 1,2025-07-25 8:00:00,https://docs.google.com/forms/d/e/1FAIpQLScwjfLaflk8IcZWmUbaO-Zx1yREJ5k0punXY02Q7SsXL9rM_Q/viewform,https://docs.google.com/forms/d/1JlBVHyUQAYHH5LTaxvbYPNW0DJw2PU79aOYuCoxjel4/edit,Created
Jumpstart Your Power BI Skills: A Handson Workshop,Russel Loski,LA Tech Park 2,2025-07-25 8:00:00,https://docs.google.com/forms/d/e/1FAIpQLSeQEwt2-foO9aY3D0bqrZkNy65ljGN2osXgMtCAfEEVBmxVrQ/viewform,https://docs.google.com/forms/d/105ZpjO0p-CsVcjrI2za5x3ovjc4Tnlcx_rOJqjmgPxw/edit,Created
